HP Playback Switch		 => MX-02[15][7]
HP Playback Volume		 => MX-02[13:8][5:0]
OUT Playback Switch		 => MX-03[15][7]
OUT Playback Volume		 => MX-03[13:8][5:0]
Mono Playback Switch		 => MX-04[15]
Mono Playback Volume		 => MX-04[13:8]
DAC2 Playback Switch		 => MX-1B[13][12]
DAC1 Playback Volume		 => MX-19[15:8][7:0]
Mono DAC Playback Volume	 => MX-1A[15:8][7:0]
IN1 Boost			 => MX-0A[15:12]
IN2 Mode Control		 => MX-0D[6]
IN2 Boost			 => MX-0D[11:8]
IN3 Mode Control		 => MX-0E[7]
IN3 Boost			 => MX-0E[15:12]
IN4 Mode Control		 => MX-0E[6]
IN4 Boost			 => MX-0E[11:8]
IN Capture Volume		 => MX-0F[12:8][4:0]
STO1 ADC Capture Switch		 => MX-1C[15][7]
Mono ADC Capture Switch		 => MX-1D[15][7]
STO2 ADC Capture Switch		 => MX-1F[15][7]
STO1 ADC Capture Volume		 => MX-1C[14:8][6:0]
Mono ADC Capture Volume		 => MX-1D[14:8][6:0]
STO2 ADC Capture Volume		 => MX-1F[14:8][6:0]
DSP TxDP Volume			 => MX-2E[14:8][6:0]
STO1 ADC Boost Gain		 => MX-1E[15:14][13:12]
Mono ADC Boost Gain		 => MX-20[15:14][13:12]
STO2 ADC Boost Gain		 => MX-1E[9:8][7:6]
ADC1 IF1 Data Switch		 => MX-77[7:6]
ADC2 IF1 Data Switch		 => MX-77[5:4]
ADC3 IF1 Data Switch		 => MX-77[3:2]
ADC4 IF1 Data Switch		 => MX-77[1:0]
ADC IF2 Data Switch		 => MX-2F[9:8]
DAC IF2 Data Switch		 => MX-2F[11:10]
ADC IF3 Data Switch		 => MX-2F[5:4]
DAC IF3 Data Switch		 => MX-2F[7:6]
ADC IF4 Data Switch		 => MX-30[1:0]
DAC IF4 Data Switch		 => MX-30[3:2]
DA STO ASRC Switch		 => MX-84[15:12]
DA MONOL ASRC Switch		 => MX-84[11:8]
DA MONOR ASRC Switch		 => MX-84[7:4]
AD STO1 ASRC Switch		 => MX-84[3:0]
AD STO2 ASRC Switch		 => MX-8C[15:12]
AD MONOL ASRC Switch		 => MX-85[7:4]
AD MONOR ASRC Switch		 => MX-85[3:0]
UP ASRC Switch			 => MX-85[15:12]
DOWN ASRC Switch		 => MX-85[11:8]
DSP ASRC Switch			 => MX-7F[3:0]
IF1 ADC TDM Switch		 => MX-77[9:8]
STO1 ADC Comp Gain		 => MX-1E[11:10]
STO2 ADC Comp Gain		 => MX-1E[5:4]
MONO ADC Comp Gain		 => MX-20[11:10]
STO1 ADC HP Filter		 => MX-D4[13:8][5:0]
STO2 ADC HP Filter		 => MX-EF[13:8][5:0]
MONO ADC HP Filter		 => MX-ED[13:8][5:0]
STO1 ADC HP Filter Coarse	 => MX-D3[14:12][10:8]
STO2 ADC HP Filter Coarse	 => MX-EE[14:12][10:8]
MONO ADC HP Filter Coarse	 => MX-EC[14:12][10:8]
RECMIXL INL1 Gain		 => MX-3B[12:10]
RECMIXL BST1 Gain		 => MX-3C[15:13]
RECMIXL BST2 Gain		 => MX-3B[3:1]
RECMIXL BST3 Gain		 => MX-3B[6:4]
RECMIXL BST4 Gain		 => MX-3B[9:7]
RECMIXR INR1 Gain		 => MX-3D[12:10]
RECMIXR BST1 Gain		 => MX-3E[15:13]
RECMIXR BST2 Gain		 => MX-3D[3:1]
